FILENAME,SIZE (bytes),DATE/TIME
ipg050104.zip,42811053,2005-01-04 02:00
ipg050111.zip,41317993,2005-01-11 02:00
ipg050118.zip,36746582,2005-01-18 02:00
ipg050125.zip,38972991,2005-01-25 02:00
ipg050201.zip,47374062,2005-02-01 02:00
ipg050208.zip,44782432,2005-02-08 02:00
ipg050215.zip,45198412,2005-02-15 02:00
ipg050222.zip,44458541,2005-02-22 02:00
ipg050301.zip,40112735,2005-03-01 02:00
ipg050308.zip,45134519,2005-03-08 02:00
ipg050315.zip,42084981,2005-03-15 01:00
ipg050322.zip,42016950,2005-03-22 01:00
ipg050329.zip,41620879,2005-03-29 01:00
ipg050405.zip,44132193,2005-04-05 02:00
ipg050412.zip,45854384,2005-04-12 02:00
ipg050419.zip,42680813,2005-04-19 02:00
ipg050426.zip,44414569,2005-04-26 02:00
ipg050503.zip,47676173,2005-05-03 02:00
ipg050510.zip,46832886,2005-05-10 02:00
ipg050517.zip,45793545,2005-05-17 02:00
ipg050524.zip,47879700,2005-05-24 02:00
ipg050531.zip,44762440,2005-05-31 02:00
ipg050607.zip,46602591,2005-06-07 02:00
ipg050614.zip,47709863,2005-06-14 02:00
ipg050621.zip,38746897,2005-06-21 02:00
ipg050628.zip,38751566,2005-06-28 02:00
ipg050705.zip,40992778,2005-07-05 02:00
ipg050712.zip,42711123,2005-07-12 02:00
ipg050719.zip,40321980,2005-07-19 02:00
ipg050726.zip,31860836,2005-07-26 02:00
ipg050802.zip,41868292,2005-08-02 02:00
ipg050809.zip,40565249,2005-08-09 02:00
ipg050816.zip,42238540,2005-08-16 02:00
ipg050823.zip,45796469,2005-08-23 02:00
ipg050830.zip,50540873,2005-08-30 02:00
ipg050906.zip,47257454,2005-09-06 02:00
ipg050913.zip,48057287,2005-09-13 02:00
ipg050920.zip,49741167,2005-09-20 02:00
ipg050927.zip,46864656,2005-09-27 02:00
ipg051004.zip,33403760,2005-10-04 02:00
ipg051011.zip,35552310,2005-10-11 02:00
ipg051018.zip,37914977,2005-10-18 02:00
ipg051025.zip,31214597,2005-10-25 02:00
ipg051101.zip,40071309,2005-11-01 01:00
ipg051108.zip,35447243,2005-11-08 02:00
ipg051115.zip,33912094,2005-11-15 02:00
ipg051122.zip,34902981,2005-11-22 02:00
ipg051129.zip,39392613,2005-11-29 02:00
ipg051206.zip,36950241,2005-12-06 02:00
ipg051213.zip,40364040,2005-12-13 02:00
ipg051220.zip,32019396,2005-12-20 02:00
ipg051227.zip,41253082,2005-12-27 02:00
us-patent-grant-v40-2004-12-02.dtd,60850,2005-10-12 09:34
